"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
1.24485127618114e-25,15.8672880847088,0.293,0.263,3.73455382854342e-22,"3","Hbb-bs"
2.49264494718299e-24,5.71036491641475,0.367,0.178,7.47793484154898e-21,"3","Gm15635"
9.68028785168435e-24,1.5207408902249,0.293,0.15,2.9040863555053e-20,"3","Kcnab1"
7.27597801738886e-23,1.17611943388501,0.295,0.115,2.18279340521666e-19,"3","Gm48228"
1.31266458006579e-22,1.88327096618691,0.25,0.14,3.93799374019736e-19,"3","Gm14858"
1.85126122056896e-22,1.50463825489775,0.256,0.19,5.55378366170688e-19,"3","Akap7"
4.3200972100125e-22,3.02909605059436,0.327,0.17,1.29602916300375e-18,"3","Prdm1"
2.98413505632828e-21,3.56052455815303,0.282,0.132,8.95240516898483e-18,"3","Pim2"
1.93952299351255e-20,2.34201901804959,0.347,0.2,5.81856898053765e-17,"3","CAAA01118383.1"
1.19384366188787e-19,2.68903964965084,0.412,0.249,3.58153098566361e-16,"3","Pygb"
2.31993455390543e-19,6.56994267975596,0.334,0.148,6.95980366171628e-16,"3","4930414N06Rik"
3.85048291761529e-18,2.01915703979096,0.256,0.133,1.15514487528459e-14,"3","Gm15527"
4.36535614552626e-18,1.75874324319248,0.391,0.25,1.30960684365788e-14,"3","Asb2"
6.75564143523713e-18,2.35466533016861,0.265,0.207,2.02669243057114e-14,"3","E330020D12Rik"
9.81986376109341e-18,1.85379086347185,0.263,0.194,2.94595912832802e-14,"3","Ccdc58"
1.08609215547439e-17,6.92126489754261,0.306,0.236,3.25827646642316e-14,"3","Ebf3"
2.70310173897262e-17,1.19563531483892,0.317,0.164,8.10930521691785e-14,"3","Gm13703"
2.99035210420104e-17,2.08628908217609,0.371,0.172,8.97105631260311e-14,"3","Gm48696"
3.89539308745865e-17,4.68480508896311,0.286,0.167,1.16861792623759e-13,"3","Gle1"
1.37925606891985e-16,1.65409769850516,0.353,0.192,4.13776820675954e-13,"3","4930473A02Rik"
2.63267653267346e-16,1.30389717028235,0.317,0.265,7.89802959802038e-13,"3","Slfn8"
2.82053058194448e-16,2.06594178779403,0.334,0.181,8.46159174583343e-13,"3","Tafa1"
5.19262914409845e-15,3.61665870239582,0.28,0.177,1.55778874322954e-11,"3","Ddb2"
5.25985932918091e-15,10.1703768735403,0.304,0.158,1.57795779875427e-11,"3","Gm37571"
6.21267009597728e-15,4.06876972052295,0.364,0.25,1.86380102879318e-11,"3","Phykpl"
1.33390507056679e-14,6.05196535304725,0.297,0.227,4.00171521170038e-11,"3","Bckdhb"
1.49178065939168e-14,1.88851401936886,0.555,0.384,4.47534197817504e-11,"3","Med12l"
2.25972112174389e-14,4.26724574056719,0.278,0.187,6.77916336523166e-11,"3","Gm42477"
2.56820309568162e-14,2.24127664950538,0.286,0.145,7.70460928704487e-11,"3","Sgsm2"
1.08516735883627e-13,1.28001762402186,0.223,0.352,3.2555020765088e-10,"3","Cd9"
1.585930000226e-13,1.30285904801926,0.297,0.207,4.75779000067799e-10,"3","Il1rap"
2.8375664121103e-13,1.16893151392006,0.265,0.137,8.5126992363309e-10,"3","Plekha7"
4.30603845776712e-13,13.3559660951963,0.269,0.205,1.29181153733014e-09,"3","Cluap1"
1.02995261795892e-12,1.28663173395372,0.577,0.43,3.08985785387676e-09,"3","Mir142hg"
2.82326230518458e-12,3.9988339497276,0.425,0.277,8.46978691555374e-09,"3","Gm42962"
2.03448269392088e-11,7.45527429193089,0.34,0.267,6.10344808176263e-08,"3","Gse1"
2.52177322068426e-11,0.513821261122764,0.354,0.276,7.56531966205277e-08,"3","Gm15283"
2.65340996403819e-11,1.04805795356184,0.43,0.307,7.96022989211457e-08,"3","Gm50035"
5.37649527850792e-11,4.23911933174663,0.26,0.172,1.61294858355238e-07,"3","Gm44759"
6.9164106389421e-11,1.17771986199668,0.269,0.143,2.07492319168263e-07,"3","Gm31323"
9.7939806639727e-11,1.23300807770236,0.369,0.303,2.93819419919181e-07,"3","Trappc9"
1.60895119830341e-10,1.44976453010127,0.406,0.264,4.82685359491022e-07,"3","Gm20275"
2.89676060383194e-10,3.93882361598673,0.217,0.269,8.69028181149583e-07,"3","Xrcc4"
3.29537138939395e-10,2.98697891170707,0.291,0.261,9.88611416818186e-07,"3","Phtf2"
7.7286442305214e-10,2.19080738560845,0.208,0.261,2.31859326915642e-06,"3","Cep152"
